S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
37,SIA/UP/IND2/443733/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/114588/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
09/09/2023","expansion of existing Sugar unit from 7000 TCD to 10000 TCD without change in existing co gen power capacity – 27.7 MW within existing industry premises at village-Mansurpur, Tehsil- Khatauli & District– Muzaffarnagar, Uttar Pradesh by M/s Dhampur Bio Organics Limited, (Unit: Mansurpur, Division: Sugar)",UTTAR PRADESH,DHAMPUR BIO ORGANICS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,5(j) Sugar Industry
38,SIA/UP/IND2/443012/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/142423/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
04/09/2023","Expansion of existing Sugar unit from 6000 TCD to 10,000 TCD along with expansion of existing co gen power capacity from 10.0 MW to 18.0 MW within existing industry premises at village-Chandanpur Khadar, Tehsil: Hasanpur District– Amroha, Uttar Pradesh by M/s Triveni Engineering & Industries Ltd, (Unit: Chandanpur, Division: Sugar)",UTTAR PRADESH,TRIVENI ENGINEERING AND INDUSTRIES LTD,SEIAA,TOR GRANTED,UTTAR PRADESH,5(j) Sugar Industry
39,SIA/UP/IND2/442797/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/142216/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
02/09/2023","Expansion of existing Sugar unit from 5,000 TCD to 10,000 TCD along with expansion of existing co gen power capacity from 10 MW to 18 MW within existing industry premises at village-Milak Narayanpur, Tehsil- Tanda, District– Rampur, Uttar Pradesh by M/s Triveni Engineering & Industries Limited, (Unit: Milak Narayanpur, Division: Sugar)",UTTAR PRADESH,TRIVENI ENGINEERING & INDUSTRIES LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,5(j) Sugar Industry
40,SIA/UP/IND2/435559/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/135291/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
17/08/2023","Proposed expansion of Existing Sugar Unit from 4500 TCD to 7000 TCD along with co gen power from 15.0 MW to 23.0 MW within existing premises at village: Khaikheri, Tehsil: Sadar District: Muzaffarnagar, Uttar Pradesh by M/s Uttam Sugar Mills Limited, Unit: Khaikheri",UTTAR PRADESH,UTTAM SUGAR MILLS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,5(j) Sugar Industry
41,SIA/UP/IND2/433855/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/133643/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
19/06/2023","Expansion of existing Sugar unit from 10,000 TCD to 12,000 TCD along with expansion of existing co gen power capacity from 20 MW to 32.7 MW within existing industry premises at village-Kumbhi, Tehsil: Gola Gokarannath District– Lakhimpur Kheri, Uttar Pradesh by M/s Balrampur Chini Mills Ltd, (Unit: Kumbhi, Division: Sugar)",UTTAR PRADESH,BALRAMPUR CHINI MILLS LTD,SEIAA,TOR Granted,UTTAR PRADESH,5(j) Sugar Industry
42,SIA/UP/IND2/428808/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/128755/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
11/05/2023","Expansion of existing Sugar unit from 5000 TCD to 10000 TCD and expansion in co-gen power capacity from 8.0 MW to 15.0 MW within existing industry premises at Village: Rani Nangal, Tehsil: Thakurdwara, District: Moradabad, Uttar Pradesh by M/s Triveni Engineering & Industries Limited",UTTAR PRADESH,TRIVENI ENGINEERING AND INDUSTRIES LTD,SEIAA,TOR GRANTED,UTTAR PRADESH,5(j) Sugar Industry
43,SIA/UP/IND2/426671/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/112852/2022
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
20/04/2023","Proposed expansion of existing Sugar unit from 9000 TCD to 14000 TCD without change in existing co gen power capacity – 41 MW within existing industry premises at village-Asmoli, Tehsil & District– Sambhal, Uttar Pradesh by M/s Dhampur Bio Organics Limited, (Unit: Asmoli, Division: Sugar)",UTTAR PRADESH,DHAMPUR BIO ORGANICS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,5(j) Sugar Industry
44,SIA/UP/IND2/424440/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/124609/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
01/04/2023","Expansion of existing Sugar unit from 4500 TCD to 6500 TCD and expansion in co gen power capacity from 6.5 MW to 9.5 MW within existing industry premises at village-Chaudhera, Post: Rosa, District– Shahjahanpur, Uttar Pradesh by M/s Avadh Sugar & Energy Limited, (Unit: Rosa, Division: Sugar)",UTTAR PRADESH,AVADH SUGAR & ENERGY LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,5(j) Sugar Industry
45,SIA/UP/IND2/421707/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/122178/2023
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
13/03/2023","Expansion of existing Sugar Unit from 8500 TCD to 12000 TCD without change in existing co gen power capacity – 32.0 MW within existing industry premises at P.O: Biswan, District– Sitapur, Uttar Pradesh.",UTTAR PRADESH,M/S SEKSARIA BISWAN SUGAR FACTORY LIMITED (SBSFL),SEIAA,TOR Granted,UTTAR PRADESH,5(j) Sugar Industry
46,SIA/UP/IND2/408659/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/107973/2022
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
30/11/2022","Expansion of existing Sugar unit from 5000 TCD to 11000 TCD along with 43.5 MW Co gen power at village – Nagaria Sadat, Block & Tehsil: Meerganj, District – Bareilly (UP) of M/s DSM Sugar, Meerganj (A Unit of Dhampur Sugar Mills Limited), Sugar Division",UTTAR PRADESH,DHAMPUR SUGAR MILLS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,5(j) Sugar Industry
47,SIA/UP/IND2/406523/2022,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/107790/2022
Category: B1
Sector: Industrial Projects - 2
Date of Submission:
15/11/2022","Proposed expansion of sugar mill cane crushing capacity from 10000 TCD to 13000 TCD along with Co- Gen power from 24.0 MW to 44.9 MW within existing premises by M/s Avadh Sugar & Energy Limited, Unit: Seohara",UTTAR PRADESH,M/S AVADH SUGAR AND ENERGY LIMITED,SEIAA,EC Granted,UTTAR PRADESH,5(j) Sugar Industry
1,SIA/UP/IND1/585775/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/289925/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
18/07/2026",Expansion of M/s Swarup Steel Industries Private Limited from 170000 MS Billet to 237600 MTPA (metric tons per annum) and 165000 TMT Bars to 220000 MTPA (metric tons per annum),UTTAR PRADESH,SWARUP STEEL INDUSTRIES PRIVATE LIMITED,SEIAA,Under Examination,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
2,SIA/UP/IND1/581302/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/285274/2026
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/06/2026","Setting up a Greenfield Steel Melt Shop and Rolling Facilities for Production of Hot Rolled Strips / Tube in Square, Round, Rectangular Shape 396000 MT/annum (metric tons per annum) by M/s Swarup Iron & Steels Private Limited",UTTAR PRADESH,Swarup iron & steels private limited,SEIAA,ADS Raised,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
3,SIA/UP/IND1/579584/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/245161/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/05/2026","Proposed Steel Melting Shop (Induction Furnace 4X30 Ton, LRF and CCM) and TMT Bar (3,45,708 TPA)",UTTAR PRADESH,S.R. concast private limited,SEIAA,Referred to SEIAA,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
4,SIA/UP/IND1/572497/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/278423/2026
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
18/03/2026",Modification in Induction Furnace from 15 Ton to 20 Ton for Existing Production Capacity 118800 MT/year by M/s Shree Sidhbali Steels Private Limited (Unit-2),UTTAR PRADESH,M/S SHREE SIDHBALI STEELS PVT. LTD. (UNIT-2),SEIAA,"DELISTED BY SYSTEM
(at : 01/06/2026)",UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
5,SIA/UP/IND1/554447/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/262457/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
18/10/2025",Modification in Induction Furnace from 15 ton to 20 ton for Existing Production Capacity 118800 Ton/annum,UTTAR PRADESH,M/S SHREE SIDHBALI STEELS PVT. LTD. (UNIT-2),SEIAA,Proposal returned in present form,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
6,SIA/UP/IND1/551276/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/205378/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
11/09/2025","Terms of Reference application for the Environmental Clearance for the expansion of existing production capacity of MS ingot/MS Billet from 600 TPD to 1200 TPD and TMT Bar/MS Bar/Angle/Channel/Wire Rod/Girder from 600 TPD to 1667 TPD through Induction Furnace, Reheating Furnace & CCM at 7th K.M. Meerut Road, Muzaffarnagar-251003 by M/s Amba Shakti Steels Limited.",UTTAR PRADESH,AMBA SHAKTI STEELS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
7,SIA/UP/IND1/541001/2025,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/232888/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
08/09/2025","Expansion of Existing Rolling Mill from 297000 TPA to 431000 TPA TMT Bar, 431000 TPA MS Billet through Induction Furnace using MS Scrap, Sponge Iron ( Raw Material) by M/s Aman Rolling Mills Pvt. Ltd, at Khasra No. 767, 768/1,768/2,769 & 770 Village Sandhawali, Tehsil & District -Muzaffarnagar, Uttar Pradesh",UTTAR PRADESH,M/S AMAN ROLLING MILLS PVT. LTD.,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
8,SIA/UP/IND1/535370/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/245161/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/05/2025","Proposed Steel Melting Shop (Induction Furnace 4X30 Ton, LRF and CCM) and TMT Bar (3,45,708 TPA)",UTTAR PRADESH,S.R. concast private limited,SEIAA,ToR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
9,SIA/UP/IND1/527932/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/104823/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
07/03/2025","production of TMT Bars 165000 MT/Year through rolling mill (CCM) and MS Billets 140000 MT/Year through induction furnace located at Khasra No 288 and 290, Village – Bhandoora, Jolly Road, District - Muzaffarnagar – 251001, Uttar Pradesh of M/s Swarup Steel Industries Private Limited",UTTAR PRADESH,SWARUP STEEL INDUSTRIES PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
10,SIA/UP/IND1/521444/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/232888/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/02/2025","Expansion of Existing Rolling Mill from 297000 TPA to 431000 TPA TMT Bar, 431000 TPA MS Billet through Induction Furnace using MS Scrap, Sponge Iron ( Raw Material) by M/s Aman Rolling Mills Pvt. Ltd, at Khasra No. 767, 768/1,768/2,769 & 770 Village Sandhawali, Tehsil & District -Muzaffarnagar, Uttar Pradesh",UTTAR PRADESH,M/S AMAN ROLLING MILLS PVT. LTD.,SEIAA,ToR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
11,SIA/UP/IND1/502425/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/127652/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/10/2024","Terms of Reference application for expansion of existing unit from 96mt/day to 400mt/day Billets and TMT Bars from 300 mt/day to 500 mt/day through Electrical/ Induction Furnace and 190MT/day production of sponge iron along with 4MW captive power plant at Village – Dhauhan, Tehsil Chunar, District – Mirzapur, Pin – 231304, Uttar Pradesh by M/s Maamahamaya Ispat and Alloys Private Limited",UTTAR PRADESH,BHUPENDRA AGRAWAL,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
12,SIA/UP/IND1/501352/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/212011/2024
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
19/10/2024","proposed Expansion of Existing Rolling Mill from 62500 MTPA to 178500 MTPA Rebars & Wire rods through Rolling Mill & Pickling (Raw Material Blooms), at A-1 South of GT Road Industrial Area, Ghaziabad-201009 by M/s JSL Super Steel Limited.",UTTAR PRADESH,SHRINIWAS PREMCHAND DASARI,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
13,SIA/UP/IND1/495979/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/136986/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/09/2024","Proposed expansion of existing Rolling Mill (Steel Rolled Bars with Structural Mill) from 1,26,200 MT/Annum to 3,91,200 MT/Annum through Reheating Furnace and direct hot charging of Steel Billets along with proposed manufacturing of Steel Billet with capacity of 4,22,400 MT/Annum through (2) two Induction Furnaces located at Magarwara, District – Unnao, Uttar Pradesh by M/s RHL Profiles Limited",UTTAR PRADESH,RHL PROFILES LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
14,SIA/UP/IND1/495064/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/205378/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/09/2024","Terms of Reference application for the Environmental Clearance for the expansion of existing production capacity of MS ingot/MS Billet from 600 TPD to 1200 TPD and TMT Bar/MS Bar/Angle/Channel/Wire Rod/Girder from 600 TPD to 1667 TPD through Induction Furnace, Reheating Furnace & CCM at 7th K.M. Meerut Road, Muzaffarnagar-251003 by M/s Amba Shakti Steels Limited.",UTTAR PRADESH,AMBA SHAKTI STEELS LIMITED,SEIAA,Standard ToR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
15,SIA/UP/IND1/487579/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/196896/2024
Category: B2
Sector: Industrial Projects - 1
Date of Submission:
13/07/2024",Production from 90 MTD Billet (27000 MTPA) (Existing) to 350 MTD TMT Bars/ Channels (105000 MTPA)(Through CCM) by M.S.Q Steel Private Limited.,UTTAR PRADESH,MSQ STEEL PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
16,SIA/UP/IND1/486009/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/195669/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
05/07/2024",Production from 90 MTD Billet (27000 MTPA) (Existing) to 350 MTD TMT Bars/ Channels (105000 MTPA)(Through CCM) by M.S.Q Steel Private Limited,UTTAR PRADESH,MSQ STEEL PRIVATE LIMITED,SEIAA,Under Verification,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
17,SIA/UP/IND1/478537/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/140492/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
03/06/2024","Environmental clearance of proposed expansion of existing Rolling Mill for the production of Rolled products viz. Steel Bar/ TMT/ Wire Rod etc. from 2,00,000 MT/annum to 2,50,000 MT/annum through Reheating Furnace route along with downstream value added products including, annealing, pickling, bright bars, wires etc located at Plot No. A-3, South of G.T. Road Industrial Area, Ghaziabad, Uttar Pradesh by M/s Rathi Steel and Power Limited",UTTAR PRADESH,RATHI STEEL AND POWER LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 08/11/2024)",UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
18,SIA/UP/IND1/469075/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/176896/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
29/04/2024",Production from 90 MTD Billet (27000 MTPA) (Existing) to 350 MTD TMT Bars/Channels (105000 MTPA) (Through CCM) by M/s M.S.Q Steel Private Limited,UTTAR PRADESH,MSQ STEEL PRIVATE LIMITED,SEIAA,Standard ToR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
19,SIA/UP/IND1/465852/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/174645/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
13/03/2024","M/s Sudhesh Industries Pvt. Ltd. at Gata Nos. 67kha, 65, 92, 93, 94, 88, 91, 95, 107, 108, 109, 110, 111, 112, 113, 193ka, 191mi, 200ka, 103, 102, 67ka, 68, 74, 75, 78, 79, 81, 82, 80, 87, 64, 66, 67ga, 96, 67ma, 69, 72, 70, 71, 73, 128, 129, 86, 99, 77, 83, 84, 85, 90, 218mi in Village Godni Basahi, Bahraich, U.P. - 271801",UTTAR PRADESH,SANJAY JAIN,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
20,SIA/UP/IND1/465722/2024,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/174645/2024
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
12/03/2024","M/s Sudhesh Industries Pvt. Ltd. at Gata Nos. 67kha, 65, 92, 93, 94, 88, 91, 95, 107, 108, 109, 110, 111, 112, 113, 193ka, 191mi, 200ka, 103, 102, 67ka, 68, 74, 75, 78, 79, 81, 82, 80, 87, 64, 66, 67ga, 96, 67ma, 69, 72, 70, 71, 73, 128, 129, 86, 99, 77, 83, 84, 85, 90, 218mi in Village Godni Basahi, Bahraich, U.P. - 271801",UTTAR PRADESH,SANJAY JAIN,SEIAA,"DELISTED BY SYSTEM
(at : 30/10/2024)",UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
21,SIA/UP/IND1/461027/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/107382/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/02/2024","Environmental Clearance for the expansion of existing production capacity of TMT Bar/MS Bar from 54000 MTA to 110000 MTA through continuous casting machine (CCM) and installation of two induction furnace of capacity 15 MT each for manufacturing of M.S Billets/M.S. Ingot having installed capacity 118800 MTA at Village Salarpur, Tehsil - Jansath, District - Muzaffarnagar – 251314 by M/s Swarup Rolling Mills Limited.",UTTAR PRADESH,SWARUP ROLLING MILLS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
22,SIA/UP/IND1/459606/2024,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/112107/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
24/01/2024","proposed expansion from Steel Billets/Ingot - 23100 TPA to 69300 TPA, TMT/Round/Bars/Sections & Long Products - 82500 TPA to 99000 TPA at Plot No - D - 19, D - 20, D - 21, D - 32, D - 33 & D – 34, UPSIDC, Industrial Area Phase II, Amawan Road, Raebareli (U.P.).",UTTAR PRADESH,HOIN MAL SONS ENTERPRISES PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
23,SIA/UP/IND1/409215/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/110385/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2023","M/S Prakash Projects Pvt. Ltd, KHASRA Nos. 225 & 226, Masota Road Lakhan, Pilkhuwa, Hapur, U.P.",UTTAR PRADESH,PRAKASH PROJECTS PVT LTD,SEIAA,TOR Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
24,SIA/UP/IND1/409635/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/107449/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2023","environmental clearance of expansion of existing Rolling Mill for the production of TMT Bars from 63000 MT/Year to 99000 MT/Year and existing 24000 MT/Year Ingots production through induction furnace route located at 7th km Bhopa Road, Village - Mustafabad, Muzaffarnagar - 251001 of M/s RSW Steel Private Limited.",UTTAR PRADESH,RSW STEEL PRIVATE LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
25,SIA/UP/IND1/410763/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/111806/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2023","Expansion of existing production capacity of MS ingot/MS Billet from 90720 MTPA to 180000 MTPA and TMT Bar/MS Bar from 98000 MTPA to 180000 MTPA through induction furnace & CCM at 7th K.M. Meerut Road, Muzaffarnagar-251003 by M/s Amba Shakti Steels Limited.",UTTAR PRADESH,AMBA SHAKTI STEELS LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
26,SIA/UP/IND1/411139/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/112107/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2023","proposed expansion from Steel Billets/Ingot - 23100 TPA to 69300 TPA, TMT/Round/Bars/Sections & Long Products - 82500 TPA to 99000 TPA at Plot No - D - 19, D - 20, D - 21, D - 32, D - 33 & D – 34, UPSIDC, Industrial Area Phase II, Amawan Road, Raebareli (U.P.).",UTTAR PRADESH,HOIN MAL SONS ENTERPRISES PRIVATE LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
27,SIA/UP/IND1/413269/2023,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/114319/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/11/2023","Expansion of Production Capacity of M.S. Billets and TMT& Structural Steel unitlocated at Opp. 66 KVA Power House, Meerut Road Industrial Area, Muzaffarnagar Distt. Muzaffarnagar (U.P.) by M/s Tehri Iron & Steel Casting Limited",UTTAR PRADESH,TEHRI IRON AND STEEL CASTING LIMITED,SEIAA,TOR GRANTED,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
28,SIA/UP/IND1/450705/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/110385/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
02/11/2023","M/S Prakash Projects Pvt. Ltd, KHASRA Nos. 225 & 226, Masota Road Lakhan, Pilkhuwa, Hapur, U.P.",UTTAR PRADESH,PRAKASH PROJECTS PVT LTD,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
29,SIA/UP/IND1/447357/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/104823/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
25/10/2023","production of TMT Bars 165000 MT/Year through rolling mill (CCM) and MS Billets 140000 MT/Year through induction furnace located at Khasra No 288 and 290, Village – Bhandoora, Jolly Road, District - Muzaffarnagar – 251001, Uttar Pradesh of M/s Swarup Steel Industries Private Limited",UTTAR PRADESH,SWARUP STEEL INDUSTRIES PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
30,SIA/UP/IND1/447654/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/107477/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
10/10/2023",Expansion of Existing Rolling Mill of 100000 MTPA TMT Bar to Production of 200000 MTPA TMT Bar and 264000 MTPA Billets/Ingot/Rolling Mill,UTTAR PRADESH,K L RATHI STEELS LTD,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
31,SIA/UP/IND1/445319/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/111806/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/09/2023","Expansion of existing production capacity of MS ingot/MS Billet from 90720 MTPA to 180000 MTPA and TMT Bar/MS Bar from 98000 MTPA to 180000 MTPA through induction furnace & CCM at 7th K.M. Meerut Road, Muzaffarnagar-251003 by M/s Amba Shakti Steels Limited.",UTTAR PRADESH,AMBA SHAKTI STEELS LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
32,SIA/UP/IND1/445278/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/106438/2022
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
22/09/2023","Environmental clearance of expansion of existing Rolling Mill for the production of TMT round & bars from 34800 MT/Year to 1,02,960 MT/Year through induction furnace route and (CCM) located at Opposite 66 kVA Power station, Merrut road, Muzaffarnagar-251003 of M/s Bharat Steel Rolling Mills (Unit-1)",UTTAR PRADESH,BHARATSTEEL ROLLING MILLS,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
33,SIA/UP/IND1/443191/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/142534/2023
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
06/09/2023","Expansion of existing unit from 70mt/day to 280mt/day having production of 89,600 MTA Billets through Electrical/ Induction Furnace at Khasra No. 140, 141, 144/240, 144/241, 144me, 189 Village – Dumduma, Tehsil Chunar, District – Mirzapur, Pin – 231304, Uttar Pradesh by M/s Maa Mahamaya Alloys Private Limited",UTTAR PRADESH,MAA MAHAMAYA ALLOYS PRIVATE LIMITED,SEIAA,EC Granted,UTTAR PRADESH,3(a) Metallurgical Industries (ferrous and non ferrous)
